user_id,gender,age,food_item,food_type,order_time,calories,mood_score,stress_level,activity_level,responded_to_nudge
U0001,Male,42,tofu stir-fry,healthy,Afternoon,607,5,2,Moderate,yes
U0002,Male,44,ramen,junk,Evening,914,9,1,Active,yes
U0003,Female,24,sushi,healthy,Afternoon,514,1,2,Moderate,no
U0004,Male,72,dumplings,balanced,Afternoon,902,1,3,Sedentary,yes
U0005,Male,71,kimchi,healthy,Evening,948,7,1,Active,no
U0006,Male,37,pho,balanced,Morning,935,3,3,Sedentary,yes
U0007,Male,37,dumplings,balanced,Night,910,1,2,Moderate,no
U0008,Female,26,pho,balanced,Afternoon,596,3,2,Moderate,yes
U0009,Female,33,teriyaki chicken,balanced,Evening,515,9,2,Active,no
U0010,Female,62,sushi,healthy,Evening,633,1,2,Moderate,yes
U0011,Male,64,teriyaki chicken,balanced,Morning,711,4,3,Moderate,yes
U0012,Male,69,kimchi,healthy,Evening,1140,5,2,Moderate,no
U0013,Male,64,teriyaki chicken,balanced,Morning,853,3,3,Moderate,no
U0014,Male,65,fried rice,junk,Morning,704,2,3,Moderate,yes
U0015,Female,53,spring rolls,healthy,Afternoon,600,9,1,Active,yes
U0016,Female,23,ramen,junk,Evening,490,1,3,Moderate,no
U0017,Female,22,spring rolls,healthy,Afternoon,1069,3,2,Moderate,no
U0018,Female,68,boba tea,junk,Afternoon,931,3,3,Sedentary,no
U0019,Female,18,spring rolls,healthy,Night,602,7,1,Active,no
U0020,Male,42,boba tea,junk,Morning,830,3,2,Sedentary,yes
U0021,Female,39,boba tea,junk,Night,1064,7,1,Active,no
U0022,Male,18,sushi,healthy,Night,969,9,1,Active,no
U0023,Female,43,spring rolls,healthy,Afternoon,650,1,3,Moderate,yes
U0024,Male,75,ramen,junk,Night,765,2,3,Moderate,yes
U0025,Male,74,tofu stir-fry,healthy,Morning,1128,10,1,Active,yes
U0026,Female,34,ramen,junk,Night,770,7,1,Active,yes
U0027,Female,40,sushi,healthy,Evening,857,9,2,Active,no
U0028,Male,36,teriyaki chicken,balanced,Evening,879,2,3,Sedentary,no
U0029,Male,54,sushi,healthy,Evening,932,3,2,Sedentary,no
U0030,Female,68,sushi,healthy,Night,931,9,1,Active,yes
U0031,Male,71,teriyaki chicken,balanced,Night,942,4,2,Sedentary,no
U0032,Female,34,ramen,junk,Evening,757,9,1,Active,yes
